图解标题：source region of yellow river,,,,,,,,,
#,"日期 时间, GMT+08:00","绝对压力, psi (LGR S/N: 20483339, SEN S/N: 20483339)","温度, °C (LGR S/N: 20483339, SEN S/N: 20483339)","水位, 米 (LGR S/N: 20483339)",耦合器已分离 (LGR S/N: 20483339),耦合器已连接 (LGR S/N: 20483339),已连接主机 (LGR S/N: 20483339),已停止 (LGR S/N: 20483339),文件结尾 (LGR S/N: 20483339)
1,08/05/23 上午02时00分00秒,9.2411,10.944,4287.314,已记录,,,,
2,08/05/23 上午05时00分00秒,9.2916,9.669,4287.349,,,,,
3,08/05/23 上午08时00分00秒,9.2669,8.282,4287.33,,,,,
4,08/05/23 上午11时00分00秒,9.3858,8.182,4287.414,,,,,
5,08/05/23 下午02时00分00秒,9.4138,8.978,4287.434,,,,,
6,08/05/23 下午05时00分00秒,9.4434,10.553,4287.456,,,,,
7,08/05/23 下午08时00分00秒,9.5481,9.866,4287.529,,,,,
8,08/05/23 下午11时00分00秒,9.5944,8.68,4287.561,,,,,
9,08/06/23 上午02时00分00秒,9.539,7.481,4287.521,,,,,
10,08/06/23 上午05时00分00秒,9.4496,6.877,4287.458,,,,,
11,08/06/23 上午08时00分00秒,9.4311,6.37,4287.445,,,,,
12,08/06/23 上午11时00分00秒,9.502,8.879,4287.496,,,,,
13,08/06/23 下午02时00分00秒,9.4138,13.461,4287.438,,,,,
14,08/06/23 下午05时00分00秒,9.4172,17.189,4287.444,,,,,
15,08/06/23 下午08时00分00秒,9.3581,16.427,4287.402,,,,,
16,08/06/23 下午11时00分00秒,9.3512,13.076,4287.393,,,,,
17,08/07/23 上午02时00分00秒,9.3501,10.259,4287.39,,,,,
18,08/07/23 上午05时00分00秒,9.3461,8.182,4287.386,,,,,
19,08/07/23 上午08时00分00秒,9.3351,6.978,4287.378,,,,,
20,08/07/23 上午11时00分00秒,9.3177,9.472,4287.367,,,,,
21,08/07/23 下午02时00分00秒,9.2805,15.282,4287.346,,,,,
22,08/07/23 下午05时00分00秒,9.254,17.379,4287.329,,,,,
23,08/07/23 下午08时00分00秒,9.2554,15.951,4287.329,,,,,
24,08/07/23 下午11时00分00秒,9.2283,13.461,4287.307,,,,,
25,08/08/23 上午02时00分00秒,9.2501,11.041,4287.32,,,,,
26,08/08/23 上午05时00分00秒,9.2464,9.176,4287.317,,,,,
27,08/08/23 上午08时00分00秒,9.2446,8.182,4287.315,,,,,
28,08/08/23 上午11时00分00秒,9.2282,11.139,4287.305,,,,,
29,08/08/23 下午02时00分00秒,9.2214,16.618,4287.305,,,,,
30,08/08/23 下午05时00分00秒,9.2406,19.472,4287.323,,,,,
31,08/08/23 下午08时00分00秒,9.2978,15.091,4287.358,,,,,
32,08/08/23 下午11时00分00秒,9.3236,12.497,4287.373,,,,,
33,08/09/23 上午02时00分00秒,9.5378,9.176,4287.521,,,,,
34,08/09/23 上午05时00分00秒,9.6367,7.782,4287.59,,,,,
35,08/09/23 上午08时00分00秒,9.5531,7.882,4287.531,,,,,
36,08/09/23 上午11时00分00秒,9.5293,9.275,4287.516,,,,,
37,08/09/23 下午02时00分00秒,7.9166,-0.213,4286.38,,,,,
38,08/09/23 下午05时00分00秒,8.0532,-0.213,4286.476,,,,,
39,08/09/23 下午08时00分00秒,8.2251,-0.213,4286.597,,,,,
40,08/09/23 下午11时00分00秒,8.5202,-0.325,4286.805,,,,,
41,08/10/23 上午02时00分00秒,8.6392,-0.325,4286.888,,,,,
42,08/10/23 上午05时00分00秒,8.7274,-0.325,4286.95,,,,,
